8,"[64,32,16,8]",128,0.001,0.72307,0.6832,,
8,"[64,32,16,8]",128,0.005,0.69334,0.65855,,
8,"[64,32,16,8]",128,0.0005,0.72577,0.68751,,
8,"[64,32,16,8]",128,0.0001,0.72929,0.69239,0.71787,
8,"[64,32,16,8]",256,0.001,0.72488,0.68519,,
8,"[64,32,16,8]",256,0.005,0.70357,0.66656,,
8,"[64,32,16,8]",256,0.0005,0.72776,0.68896,,
8,"[64,32,16,8]",256,0.0001,0.72414,0.68756,0.72009,
8,"[64,32,16,8]",512,0.001,0.72848,0.68872,,
8,"[64,32,16,8]",512,0.005,0.71871,0.67785,,
8,"[64,32,16,8]",512,0.0005,0.72891,0.68913,,
8,"[64,32,16,8]",512,0.0001,0.70182,0.66609,0.71948,
8,"[64,32,16,8]",1024,0.005,0.71064,0.67077,,
8,"[64,32,16,8]",1024,0.001,0.72648,0.68822,,
8,"[64,32,16,8]",1024,0.0001,0.63103,0.58328,,
8,"[64,32,16,8]",1024,0.0005,0.72608,0.68823,0.69856,0.714
8,"[32,16,8]",128,0.005,0.70892,0.67112,,
8,"[32,16,8]",128,0.001,0.71793,0.6818,,
8,"[32,16,8]",128,0.0005,0.72278,0.68529,,
8,"[32,16,8]",128,0.0001,0.72012,0.68441,0.71744,
8,"[32,16,8]",256,0.005,0.71305,0.67375,,
8,"[32,16,8]",256,0.001,0.7197,0.68121,,
8,"[32,16,8]",256,0.0005,0.72382,0.6884,,
8,"[32,16,8]",256,0.0001,0.71034,0.67431,0.71673,
8,"[32,16,8]",512,0.0005,0.72635,0.68784,,
8,"[32,16,8]",512,0.005,0.71889,0.67794,,
8,"[32,16,8]",512,0.001,0.72576,0.68714,,
8,"[32,16,8]",512,0.0001,0.63998,0.59758,0.70275,
8,"[32,16,8]",1024,0.0001,0.53398,0.48321,,
8,"[32,16,8]",1024,0.005,0.72253,0.68267,,
8,"[32,16,8]",1024,0.0005,0.7226,0.68548,,
8,"[32,16,8]",1024,0.001,0.72521,0.68931,0.67608,0.70325
16,"[128,64,32,16]",128,0.0005,0.71957,0.68151,,
16,"[128,64,32,16]",128,0.0001,0.73012,0.68826,,
16,"[128,64,32,16]",128,0.001,0.72115,0.68339,,
16,"[128,64,32,16]",128,0.005,0.70318,0.66324,0.71851,
16,"[128,64,32,16]",256,0.005,0.69728,0.66151,,
16,"[128,64,32,16]",256,0.0005,0.72931,0.68946,,
16,"[128,64,32,16]",256,0.001,0.72092,0.6811,,
16,"[128,64,32,16]",256,0.0001,0.72938,0.69128,0.71922,
16,"[128,64,32,16]",512,0.0005,0.73116,0.69134,v,
16,"[128,64,32,16]",512,0.005,0.70723,0.67018,,
16,"[128,64,32,16]",512,0.001,0.72586,0.68584,,
16,"[128,64,32,16]",512,0.0001,0.72648,0.69113,0.72268,
16,"[64,32,16]",128,0.0001,0.72858,0.69109,,
16,"[64,32,16]",128,0.0005,0.72466,0.68609,,
16,"[64,32,16]",128,0.005,0.71038,0.67082,,
16,"[64,32,16]",128,0.001,0.72233,0.68326,0.72149,
16,"[64,32,16]",256,0.0005,0.72705,0.6897,,
16,"[64,32,16]",256,0.005,0.70567,0.67081,,
16,"[64,32,16]",256,0.001,0.72708,0.69047,,
16,"[64,32,16]",256,0.0001,0.72256,0.68519,,
16,"[64,32,16]",512,0.005,0.72152,0.67957,,
16,"[64,32,16]",512,0.001,0.72422,0.68684,,
16,"[64,32,16]",512,0.0005,0.72939,0.69061,,
16,"[64,32,16]",512,0.0001,0.71013,0.67463,0.72132,
32,"[128,64,32]",128,0.005,0.67949,0.64899,,
32,"[128,64,32]",128,0.0005,0.72446,0.68627,,
32,"[128,64,32]",128,0.001,0.7123,0.67703,,
32,"[128,64,32]",128,0.0001,0.72973,0.69025,,
8,"[128,64,32,16]",512,0.0005,0.730176509,0.690018754,,
32,"[128,64,32,16]",512,0.0005,0.730510815,0.689318526,,
64,"[128,64,32,16]",512,0.0005,0.728509454,0.687049972,,
,,,,0.73116,,,
