8,"[64,32,16,8]",256,0.0001,0.5503903200624511,0.17043992188637228
8,"[64,32,16,8]",256,0.0005,0.6390612802498048,0.20980980976142122
8,"[64,32,16,8]",512,0.0001,0.5480015612802498,0.17296948583698096
8,"[64,32,16,8]",256,0.005,0.5653747072599532,0.19104102520362995
8,"[64,32,16,8]",512,0.0005,0.6083821233411396,0.20182309116777725
8,"[64,32,16,8]",512,0.0005,0.6050663544106166,0.1911620408732349
8,"[64,32,16,8]",512,0.005,0.6013680718188915,0.21291570245990732
16,"[128,64,32,16]",256,0.0001,0.5883430913348947,0.18987681261354566
16,"[128,64,32,16]",256,0.0005,0.6379234972677595,0.23429012189418766
16,"[128,64,32,16]",256,0.001,0.6100702576112412,0.21372975523965093
16,"[128,64,32,16]",512,0.0001,0.5528317720530835,0.17878826352574118
16,"[128,64,32,16]",256,0.005,0.5731010928961748,0.19688283022528952
16,"[128,64,32,16]",512,0.0005,0.6440261514441843,0.2120664324533553
16,"[128,64,32,16]",512,0.001,0.6244867291178766,0.21950852085939282
8,"[64,32,16,8]",256,0.001,0.6252654176424668,0.22482074312026018
