8,"[64,32,16,8]",256,0.0001,0.563546058,0.177260787,
8,"[64,32,16,8]",256,0.001,0.643444575,0.221964433,
8,"[64,32,16,8]",256,0.0005,0.64401249,0.212718609,
8,"[64,32,16,8]",256,0.005,0.639960968,0.214959531,
8,"[64,32,16,8]",512,0.0001,0.54739071,0.165010663,
8,"[64,32,16,8]",512,0.005,0.645444965,0.21641376,
8,"[64,32,16,8]",512,0.0005,0.598110851,0.19179005,
8,"[64,32,16,8]",512,0.001,0.639738486,0.206866715,
16,"[128,64,32,16]",256,0.0001,0.549117877,0.167255164,
16,"[128,64,32,16]",256,0.001,0.649051522,0.219726089,v
16,"[128,64,32,16]",256,0.0005,0.637806401,0.212990035,
16,"[128,64,32,16]",256,0.005,0.625087822,0.213642132,
16,"[128,64,32,16]",512,0.0001,0.566576893,0.181339993,
16,"[128,64,32,16]",512,0.005,0.634931694,0.215482635,
16,"[128,64,32,16]",512,0.001,0.642835675,0.212423199,
16,"[128,64,32,16]",512,0.0005,0.64039032,0.207559794,
,,,,0.649051522,,
